#2th	#Int
12.4530	2694.4966
12.4540	2695.4133
12.4550	2696.0663
12.4560	2694.2044
12.4570	2697.9227
12.4580	2699.0500
12.4590	2697.4706
12.4600	2697.0829
12.4610	2694.6305
12.4620	2694.2954
12.4630	2693.2720
12.4640	2692.1197
12.4650	2690.3482
12.4660	2690.9009
12.4670	2691.2700
12.4680	2690.5676
12.4690	2691.5030
12.4700	2691.3617
12.4710	2691.5824
12.4720	2690.7805
12.4730	2691.7424
12.4740	2690.2832
12.4750	2689.0927
12.4760	2689.6375
12.4770	2687.9645
12.4780	2686.2131
12.4790	2686.0251
12.4800	2686.7325
12.4810	2688.7053
12.4820	2690.4633
12.4830	2689.1085
12.4840	2688.2260
12.4850	2686.0117
12.4860	2685.3760
12.4870	2684.0375
12.4880	2682.1090
12.4890	2681.5137
12.4900	2679.3879
12.4910	2680.1641
12.4920	2682.0021
12.4930	2683.4902
12.4940	2678.9902
12.4950	2682.2998
12.4960	2685.5141
12.4970	2684.4115
12.4980	2681.8567
12.4990	2680.0247
12.5000	2681.3258
12.5010	2678.9755
12.5020	2675.8678
12.5030	2673.8837
12.5040	2674.1392
12.5050	2672.6345
12.5060	2672.9202
12.5070	2672.2773
12.5660	2673.6583
12.5670	2675.5987
12.5680	2675.5035
12.5690	2675.4364
12.5700	2672.1936
12.5710	2668.0377
12.5720	2667.1389
12.5730	2667.4042
12.5740	2664.7554
12.5750	2660.0744
12.5760	2658.2840
12.5770	2659.5540
12.5780	2659.4468
12.5790	2656.7980
12.5800	2658.5123
12.5810	2659.6115
12.5820	2658.4782
12.5830	2658.9591
12.5840	2659.9687
12.5850	2658.5851
12.5860	2658.2994
12.5870	2658.8215
12.5880	2655.4643
12.5890	2656.3881
12.5900	2656.5933
12.5910	2657.3481
12.5920	2655.3730
12.5930	2653.5218
12.5940	2651.5541
12.5950	2648.8458
12.5960	2647.3626
12.5970	2648.0058
12.5980	2646.2065
12.5990	2645.2984
12.6000	2642.9055
12.6010	2640.1606
12.6020	2640.1408
12.6030	2639.0836
12.6040	2637.7693
12.6050	2637.5455
12.6060	2636.6434
12.6070	2635.6196
12.6080	2633.2642
12.6090	2634.2028
